pro,city,code,pro_code,city_code,city,lat,lon,纬度,经度,最近距离千米,最近港口,
山东省,威海市,141,37,371000,威海市,37.5097,122.116,37.5097,122.116,10.120863,威海港,
山东省,济宁市,139,37,370800,济宁市,35.4154,116.587,35.4154,116.587,269.10055,日照港,
山东省,泰安市,140,37,370900,泰安市,36.195,117.129,36.195,117.129,236.86797,日照港,
山东省,日照市,142,37,371100,日照市,35.4286,119.461,35.4286,119.461,10.102407,日照港,
山东省,莱芜市,143,37,371200,莱芜市,36.2144,117.678,36.2144,117.678,193.0564,日照港,
浙江省,宁波市,85,33,330200,宁波市,29.8684,121.55,29.8684,121.55,31.240159,宁波港,
浙江省,舟山市,92,33,330900,舟山市,30.016,122.107,30.016,122.107,13.561812,舟山港,
,,95,33,331200,舟山群岛新区,29.8132,122.318,29.8132,122.318,34.443704,舟山港,
浙江省,温州市,86,33,330300,温州市,28.0006,120.672,28.0006,120.672,13.234837,温州港,
浙江省,金华市,90,33,330700,金华市,29.0895,119.65,29.0895,119.65,168.27939,温州港,
浙江省,衢州市,91,33,330800,衢州市,28.9417,118.873,28.9417,118.873,217.55984,温州港,
浙江省,丽水市,94,33,331100,丽水市,28.452,119.922,28.452,119.922,101.77879,温州港,
江西省,鹰潭市,126,36,360600,鹰潭市,28.2386,117.034,28.2386,117.034,370.62697,温州港,
江西省,上饶市,131,36,361100,上饶市,28.4444,117.971,28.4444,117.971,282.31751,温州港,
浙江省,台州市,93,33,331000,台州市,28.6614,121.429,28.6614,121.429,2.5712627,台州港,
浙江省,杭州市,84,33,330100,杭州市,30.2875,120.154,30.2875,120.154,95.749368,嘉兴港,
浙江省,嘉兴市,87,33,330400,嘉兴市,30.7627,120.751,30.7627,120.751,36.851489,嘉兴港,
浙江省,绍兴市,89,33,330600,绍兴市,29.9971,120.582,29.9971,120.582,82.487322,嘉兴港,
江苏省,无锡市,72,32,320200,无锡市,31.5747,120.302,31.5747,120.302,33.247928,苏州港,
江苏省,苏州市,75,32,320500,苏州市,31.2994,120.62,31.2994,120.62,9.8503838,苏州港,
浙江省,湖州市,88,33,330500,湖州市,30.8672,120.102,30.8672,120.102,68.167152,苏州港,
江苏省,南京市,71,32,320100,南京市,32.0415,118.767,32.0415,118.767,6.5763588,南京港,
安徽省,合肥市,96,34,340100,合肥市,31.8612,117.283,31.8612,117.283,139.54782,南京港,
安徽省,芜湖市,97,34,340200,芜湖市,31.3263,118.376,31.3263,118.376,92.007874,南京港,
安徽省,蚌埠市,98,34,340300,蚌埠市,32.934,117.362,32.934,117.362,159.12817,南京港,
安徽省,淮南市,99,34,340400,淮南市,32.6459,117.025,32.6459,117.025,172.0346,南京港,
安徽省,马鞍山市,100,34,340500,马鞍山市,31.6894,118.508,31.6894,118.508,49.977031,南京港,
安徽省,铜陵市,102,34,340700,铜陵市,30.9299,117.817,30.9299,117.817,156.13154,南京港,
安徽省,安庆市,103,34,340800,安庆市,30.5248,117.054,30.5248,117.054,236.69642,南京港,
安徽省,黄山市,104,34,341000,黄山市,29.7092,118.317,29.7092,118.317,268.26635,南京港,
安徽省,滁州市,105,34,341100,滁州市,32.3036,118.316,32.3036,118.316,45.890307,南京港,
安徽省,阜阳市,106,34,341200,阜阳市,32.897,115.82,32.897,115.82,287.70457,南京港,
安徽省,宿州市,107,34,341300,宿州市,33.6339,116.984,33.6339,116.984,236.81804,南京港,
安徽省,六安市,108,34,341500,六安市,31.7529,116.508,31.7529,116.508,213.73714,南京港,
安徽省,亳州市,109,34,341600,亳州市,33.8693,115.783,33.8693,115.783,338.84786,南京港,
安徽省,池州市,110,34,341700,池州市,30.656,117.489,30.656,117.489,199.05418,南京港,
安徽省,宣城市,111,34,341800,宣城市,30.9457,118.758,30.9457,118.758,127.78584,南京港,
江西省,南昌市,121,36,360100,南昌市,28.6765,115.892,28.6765,115.892,467.84248,南京港,
江西省,景德镇市,122,36,360200,景德镇市,29.2926,117.215,29.2926,117.215,343.86973,南京港,
江西省,九江市,124,36,360400,九江市,29.712,115.993,29.712,115.993,372.42273,南京港,
河南省,平顶山市,152,41,410400,平顶山市,33.7352,113.308,33.7352,113.308,538.48292,南京港,
河南省,许昌市,158,41,411000,许昌市,34.023,113.826,34.023,113.826,505.29706,南京港,
河南省,漯河市,159,41,411100,漯河市,33.5759,114.026,33.5759,114.026,469.86094,南京港,
河南省,南阳市,161,41,411300,南阳市,32.9991,112.541,32.9991,112.541,589.27878,南京港,
河南省,信阳市,163,41,411500,信阳市,32.1233,114.075,32.1233,114.075,439.04195,南京港,
河南省,周口市,164,41,411600,周口市,33.6204,114.65,33.6204,114.65,417.67309,南京港,
河南省,驻马店市,165,41,411700,驻马店市,32.9802,114.025,32.9802,114.025,452.47513,南京港,
湖北省,武汉市,166,42,420100,武汉市,30.5844,114.299,30.5844,114.299,453.63087,南京港,
湖北省,黄石市,167,42,420200,黄石市,30.2201,115.077,30.2201,115.077,405.81559,南京港,
湖北省,十堰市,168,42,420300,十堰市,32.647,110.785,32.647,110.785,749.12473,南京港,
湖北省,宜昌市,169,42,420500,宜昌市,30.7026,111.291,30.7026,111.291,723.26967,南京港,
湖北省,襄阳市,170,42,420600,襄阳市,32.0424,112.144,32.0424,112.144,621.14404,南京港,
湖北省,鄂州市,171,42,420700,鄂州市,30.3965,114.891,30.3965,114.891,411.4409,南京港,
湖北省,荆门市,172,42,420800,荆门市,31.0354,112.204,31.0354,112.204,629.92625,南京港,
湖北省,孝感市,173,42,420900,孝感市,30.9264,113.927,30.9264,113.927,474.045,南京港,
湖北省,荆州市,174,42,421000,荆州市,30.3269,112.238,30.3269,112.238,648.40652,南京港,
湖北省,黄冈市,175,42,421100,黄冈市,30.4477,114.879,30.4477,114.879,409.79173,南京港,
湖北省,咸宁市,176,42,421200,咸宁市,29.8328,114.329,29.8328,114.329,489.70781,南京港,
湖北省,随州市,177,42,421300,随州市,31.7175,113.374,31.7175,113.374,507.89036,南京港,
湖南省,岳阳市,184,43,430600,岳阳市,29.3703,113.133,29.3703,113.133,615.19438,南京港,
四川省,广元市,237,51,510800,广元市,32.4337,105.83,32.4337,105.83,1213.4082,南京港,
四川省,巴中市,247,51,511900,巴中市,31.8588,106.754,31.8588,106.754,1129.9582,南京港,
陕西省,汉中市,290,61,610700,汉中市,33.0777,107.029,33.0777,107.029,1101.7501,南京港,
陕西省,安康市,292,61,610900,安康市,32.6903,109.029,32.6903,109.029,913.55953,南京港,
陕西省,商洛市,293,61,611000,商洛市,33.8683,109.94,33.8683,109.94,843.57415,南京港,
江苏省,徐州市,73,32,320300,徐州市,34.2618,117.185,34.2618,117.185,213.12495,连云港港,
江苏省,连云港市,77,32,320700,连云港市,34.6,119.179,34.6,119.179,28.577233,连云港港,
江苏省,淮安市,78,32,320800,淮安市,33.5975,119.021,33.5975,119.021,133.41071,连云港港,
江苏省,宿迁市,83,32,321300,宿迁市,33.9452,118.293,33.9452,118.293,137.65232,连云港港,
